,time,th1,th2,th3,th4,th5,camera1,camera2
0,2023-01-19 13:58:17,0.2261822670698166,0.48739492893218994,-2.2943692843066614,-0.21088821092714483,0.886885941028595,579,462
0,2023-01-19 13:59:54,0.22652994096279144,0.9496835470199585,-1.9610660711871546,-0.21186477342714483,0.8868415355682373,478,416
0,2023-01-19 14:00:13,0.22647379338741302,0.9400495886802673,-1.612086598073141,-0.2100165526019495,0.8867741823196411,507,214
0,2023-01-19 14:00:29,0.22540293633937836,1.2396966218948364,-1.212477986012594,-0.20930511156191045,0.8868518471717834,419,83
0,2023-01-19 14:00:48,0.2251252681016922,0.9000647664070129,-1.4683621565448206,-0.2093871275531214,0.8868545889854431,560,121
0,2023-01-19 14:01:06,0.2250850349664688,0.949178159236908,-1.3655608336078089,-0.2090514341937464,0.8868227601051331,561,77
0,2023-01-19 14:01:29,0.22593262791633606,1.869994878768921,-0.6497462431537073,-0.2096942106830042,0.8868128061294556,75,110
0,2023-01-19 14:01:50,0.22584223747253418,1.8619227409362793,-0.47909242311586553,-0.20927268663515264,0.8867596387863159,134,18
0,2023-01-19 14:02:06,0.2274474799633026,2.0095648765563965,-0.48342973390688115,-0.2093451658831995,0.8867902159690857,23,124
0,2023-01-19 14:02:17,0.22734223306179047,1.8773174285888672,-0.5651291052447718,-0.2093260923968714,0.886827290058136,88,57
0,2023-01-19 14:02:55,0.2273915708065033,1.8729394674301147,-1.2199047247516077,-0.21371108690370733,0.8868271708488464,83,467
0,2023-01-19 14:03:09,0.22733649611473083,1.8728938102722168,-1.0414231459247034,-0.21241790453066045,0.886782169342041,57,383
